streamName,agency,site,Issue
SOUTH RIVER,MADEP,MADEP_W0013_T1,logger out of water (beginning)
SOUTH RIVER,MADEP,MADEP_W0014_T1,logger out of water (beginning)
BEAVERDAM BROOK,MADEP,MADEP_W0448_T1,abnormal (cold)
GOLDTHWAIT BROOK,MADEP,MADEP_W0454_T1,abnormal (warm)
CENTER BROOK,MADEP,MADEP_W0514_T1,abnormal (cold)
TRAPHOLE BROOK,MADEP,MADEP_W0551_T1,abnormal (cold)
STILL RIVER,MADEP,MADEP_W0995_T1,abnormal (cold)
HOUSATONIC RIVER,MADEP,MADEP_W1100_T1,abnormal (warm)
HUBBARD BROOK,MADEP,MADEP_W1113_T1,abnormal (warm)
KITCHEN BROOK,MADEP,MADEP_W1119_T1,abnormal (cold)
WILLIAMS RIVER,MADEP,MADEP_W1560_T1,abnormal (warm)
CHARLES RIVER,MADEP,MADEP_W1718_T1,abnormal (warm)
CHARLES RIVER,MADEP,MADEP_W1719_T1,abnormal (warm)
CHARLES RIVER,MADEP,MADEP_W1720_T1,abnormal (warm)
Unnamed Tributary,MADEP,MADEP_W1737_T1,abnormal
Unnamed Tributary,MADEP,MADEP_W1773_T1,abnormal (warm)
CONNECTICUT RIVER,MADEP,MADEP_W1799_T1,abnormal (warm)
Lake Quinsigamond,MADEP,MADEP_W1897_T1,abnormal (warm)
MALDEN RIVER,MADEP,MADEP_W1967_T1,abnormal (warm)
Unnamed Tributary,MADEP,MADEP_W1968_T1,abnormal (cold)
Unnamed Tributary,MADEP,MADEP_W2006_T1,abnormal (cold)
Unnamed Tributary,MADEP,MADEP_W2072_T1,abnormal (cold)
QUAKER RUN,MADEP,MADEP_W2077_T1,abnormal (warm)
HERRING BROOK,MADEP,MADEP_W2078_T1,abnormal (cold)
HERRING RIVER,MADEP,MADEP_W2080_T1,abnormal (warm)
Unnamed Tributary,MADEP,MADEP_W2085_T1,abnormal (cold)
Unnamed Tributary,MADEP,MADEP_W2086_T1,abnormal (cold)
