"FID_","site","Latitude","Longitude"
,"MEDMR_7MAINST1.48",44.895945,-67.226687
,"MEDMR_5ESTUAR0.72",44.717197,-67.452567
,"MEDMR_7MAINST1.55",44.895324,-67.226681
,"MEDMR_6CHASEM2.17",44.756445,-67.360248
,"MEDMR_6MAINST0.39",44.737288,-67.389296
,"MEDMR_7MAINST1.43",44.896396,-67.226724
,"MEDMR_7MAINST1.81",44.893080,-67.226522
,"MEDMR_7MAINST2.10",44.891425,-67.228941
,"MEDMR_7MAINST1.56",44.895234,-67.226696
,"MEDMR_6MAINST0.24",44.736047,-67.390038
,"MEDMR_6MAINST0.78",44.740239,-67.387231
,"MEDMR_6MAINST0.68",44.739640,-67.388170
,"MEDMR_6ESTUAR1.12",44.726631,-67.399025
