"FID_","site","Latitude","Longitude","agency"
,"MEDMR_3MAINST30.86",44.736115,-68.017824,"MEDMR"
,"MEDMR_3MAINST47.62",44.842832,-68.069953,"MEDMR"
,"MEDMR_3MAINST22.43",44.698653,-68.000812,"MEDMR"
,"MEDMR_3MAINST38.22",44.781287,-68.018651,"MEDMR"
,"MEDMR_3MAINST46.29",44.832598,-68.064627,"MEDMR"
,"MEDMR_3MAINST55.55",44.900098,-68.095008,"MEDMR"
,"MEDMR_3MAINST11.08",44.653554,-67.956877,"MEDMR"
,"MEDMR_3MAINST33.26",44.750277,-68.006555,"MEDMR"
,"MEDMR_3MAINST41.81",44.805687,-68.032855,"MEDMR"
,"MEDMR_3MAINST62.50",44.947925,-68.108696,"MEDMR"
,"MEDMR_3MAINST1.85",44.608353,-67.938405,"MEDMR"
,"MEDMR_3MAINST49.69",44.859495,-68.074457,"MEDMR"
,"MEDMR_3WESTBR7.70",44.645378,-67.994892,"MEDMR"
,"MEDMR_3MAINST47.19",44.839053,-68.069040,"MEDMR"
,"MEDMR_3MAINST7.65",44.630976,-67.954029,"MEDMR"
,"MEDMR_3MAINST11.16",44.654072,-67.957473,"MEDMR"
,"MEDMR_3MAINST51.94",44.873850,-68.089697,"MEDMR"
,"MEDMR_3MAINST1.84",44.608091,-67.938309,"MEDMR"
,"MEDMR_3MAINST47.69",44.843454,-68.070070,"MEDMR"
