site,agency,year,spring1,spring2,fall1,fall2
CTDEP_1,CTDEP,2010,91,95,NA,NA
CTDEP_33,CTDEP,2001,127,134,NA,NA
CTDEP_50,CTDEP,2001,127,134,NA,NA
CTDEP_54,CTDEP,2001,127,134,297,333
CTDEP_112,CTDEP,2001,100,107,265,267
CTDEP_168,CTDEP,1999,90,98,NA,NA
CTDEP_258,CTDEP,2001,127,134,293,337
CTDEP_266,CTDEP,2001,127,134,296,337
CTDEP_289,CTDEP,2009,141,148,NA,NA
CTDEP_318,CTDEP,2010,91,95,NA,NA
CTDEP_346,CTDEP,2001,NA,NA,297,332
CTDEP_575,CTDEP,2001,127,134,278,337
CTDEP_710,CTDEP,2001,127,134,271,337
CTDEP_711,CTDEP,2001,127,134,296,337
CTDEP_712,CTDEP,2001,127,134,293,337
CTDEP_953,CTDEP,2001,127,134,285,337
CTDEP_970,CTDEP,2001,127,134,271,337
CTDEP_2004,CTDEP,2004,NA,NA,279,280
CTDEP_2005,CTDEP,2004,NA,NA,279,280
CTDEP_5074,CTDEP,2001,127,134,271,337
CTDEP_5183,CTDEP,2001,127,134,272,337
CTDEP_5989,CTDEP,2004,153,161,NA,NA
CTDEP_5990,CTDEP,2004,153,161,NA,NA
CTDEP_5991,CTDEP,2004,153,161,NA,NA
CTDEP_5994,CTDEP,2001,127,134,NA,NA
CTDEP_5995,CTDEP,2001,127,134,NA,NA
CTDEP_6045,CTDEP,2001,127,134,NA,NA
CTDEP_6046,CTDEP,2001,127,134,NA,NA
CTDEP_6047,CTDEP,2001,127,134,NA,NA
CTDEP_191,CTDEP,2001,NA,NA,293,331
CTDEP_205,CTDEP,2001,NA,NA,289,331
CTDEP_518,CTDEP,2001,127,134,NA,NA
CTDEP_682,CTDEP,2002,149,153,268,282
CTDEP_953,CTDEP,2001,NA,NA,272,284
CTDEP_1030,CTDEP,2001,127,134,272,333
CTDEP_1139,CTDEP,2001,NA,NA,293,331
CTDEP_1467,CTDEP,2001,127,134,272,332
CTDEP_2217,CTDEP,2001,127,134,271,337
CTDEP_2218,CTDEP,2001,127,134,271,337
CTDEP_155,CTDEP,2001,127,134,293,331
CTDEP_212,CTDEP,2001,127,134,293,331
CTDEP_919,CTDEP,2004,NA,NA,279,280
CTDEP_1162,CTDEP,2001,NA,NA,276,311
CTDEP_1413,CTDEP,2001,127,134,293,331
CTDEP_2688,CTDEP,2010,91,96,NA,NA
VTFWS_MooseRiver_XXX06,VTFWS,2004,NA,NA,268,337
VTFWS_Sleepers_XXX06,VTFWS,2004,NA,NA,279,290
VTFWS_TimCarroll,VTFWS,2002,NA,NA,261,262
NHFG_NHCocheco55,NHFG,2006,152,156,283,309
NHFG_NHColumbia55,NHFG,2005,140,143,NA,NA
NHFG_NHDodgeBrk55,NHFG,2005,NA,NA,270,271
NHFG_NHEBrNash55,NHFG,2005,140,143,259,262
NHFG_NHGreatBrkLngdon55,NHFG,2005,NA,NA,270,271
NHFG_NHJohnsonBrk55,NHFG,2005,140,143,NA,NA
NHFG_NHLweWhtfcRiv55,NHFG,2005,157,158,NA,NA
NHFG_NHNshStrAbvBog55,NHFG,2005,140,143,NA,NA
NHFG_NHUprMillBrk55,NHFG,2005,151,152,NA,NA
NHFG_NHChesley55,NHFG,2006,152,159,258,263
NHFG_NHCrlStr55,NHFG,2005,NA,NA,264,300
NHFG_NHDDiamHlgt55,NHFG,2007,143,149,277,282
NHFG_NHDodgeBrk60,NHFG,2006,152,162,280,310
NHFG_NHHoneyBrk55,NHFG,2005,NA,NA,270,271
NHFG_NHLngMtnBrk55,NHFG,2005,140,145,259,262
NHFG_NHLwrStgHlwBrk55,NHFG,2007,NA,NA,276,289
NHFG_NHMill55,NHFG,2006,152,157,268,269
NHFG_NHPrsctBrk55,NHFG,2005,140,152,NA,NA
NHFG_NHThay55,NHFG,2006,152,164,280,310
NHFG_NHUprGunnison55,NHFG,2005,157,159,270,271
NHFG_NHUprWnlnctRiv55,NHFG,2005,157,158,NA,NA
NHFG_NHWarrenBrk60,NHFG,2006,152,162,280,310
NHFG_NHWarrenBrk65,NHFG,2006,NA,NA,272,311
NHFG_NHWeeksBrk55,NHFG,2005,140,152,NA,NA
NHFG_NHBlck60,NHFG,2006,152,165,269,269
NHFG_NHNBrOfNBrch55,NHFG,2007,137,140,NA,NA
NHFG_NHScat55,NHFG,2006,152,161,NA,NA
NHFG_NHSilverBrk55,NHFG,2005,140,143,NA,NA
NHFG_NHSwftRiv55,NHFG,2006,152,165,266,268
NHFG_NHUprRixBrk55,NHFG,2007,NA,NA,269,283
NHFG_NHWarrenBrk55,NHFG,2006,152,162,280,310
NHFG_NHFrzrBrk55,NHFG,2006,152,157,268,269
NHFG_NHPikeBrk55,NHFG,2005,140,143,NA,NA
NHFG_NHPondBrk55,NHFG,2005,NA,NA,259,262
NHFG_NHUprSwftRiv55,NHFG,2005,157,158,NA,NA
MEDMR_3MAINST1.85,MEDMR,2011,129,131,299,318
MEDMR_6NORTHE4.69,MEDMR,2009,156,170,336,337
MEDMR_5MAINST7.86,MEDMR,2011,NA,NA,337,339
MEDMR_5WESTBR0.18,MEDMR,2006,NA,NA,298,300
MEDMR_6MAINST47.78,MEDMR,2009,NA,NA,336,336
MEDMR_4MAINST0.85,MEDMR,2004,163,170,NA,NA
MEDMR_5FLETCHR7.35,MEDMR,2006,NA,NA,298,300
MEDMR_4NETRIB0.18,MEDMR,2008,NA,NA,268,281
,,,,,,
,,,,,,
